Año;Trimestre;Provincia;Categorización de acuerdo al RNE;Actividad económica de acuerdo al RNE;Cantidad de emprendedores registrados
2021;4;AZUAY;Emprendedores;Actividades de turismo;1
2021;4;AZUAY;Emprendedores;Comercio electrónico;1
2021;4;AZUAY;Emprendedores;Producción de alimentos / Procesos de Agroindustria;2
2021;4;AZUAY;Emprendedores;Servicios Profesionales (asesoría, contables, abogados, etc.);1
2021;4;AZUAY;Emprendedores;Biotecnología;1
2021;4;AZUAY;Emprendedores;Servicios para eventos;1
2021;4;AZUAY;Emprendedores;Salón de belleza / Servicios de belleza / SPA;1
2021;4;AZUAY;Emprendedores;Restaurantes / Cafetería;2
2021;4;AZUAY;Emprendedores;Química / Petroquímica  ;1
2021;4;CANAR;Emprendedores;Comercio electrónico;1
2021;4;CANAR;Emprendedores;Producción de alimentos / Procesos de Agroindustria;1
2021;4;CARCHI;Emprendedores;Actividades de turismo;1
2021;4;CHIMBORAZO;Emprendedores;Producción de alimentos / Procesos de Agroindustria;1
2021;4;CHIMBORAZO;Emprendedores;Servicios Profesionales (asesoría, contables, abogados, etc.);1
2021;4;CHIMBORAZO;Emprendedores;Restaurantes / Cafetería;1
2021;4;COTOPAXI;Emprendedores;Centros educativos / Enseñanza o similares;1
2021;4;EL ORO;Emprendedores;Producción de alimentos / Procesos de Agroindustria;1
2021;4;EL ORO;Emprendedores;Reparación de ropa, calzado, mochilas, otros;1
2021;4;EL ORO;Emprendedores;Muebles y decoración;1
2021;4;EL ORO;Emprendedores;Ferretería / Pinturas / Tuberías;1
2021;4;GALAPAGOS;Emprendedores;Veterinarias;1
2021;4;GALAPAGOS;Emprendedores;Reparación y/o venta de tecnología  ;1
2021;4;GUAYAS;Emprendedores;Actividades de turismo;1
2021;4;GUAYAS;Emprendedores;Comercio electrónico;1
2021;4;GUAYAS;Emprendedores;Producción de alimentos / Procesos de Agroindustria;2
2021;4;GUAYAS;Emprendedores;Servicios Profesionales (asesoría, contables, abogados, etc.);3
2021;4;GUAYAS;Emprendedores;Muebles y decoración;1
2021;4;GUAYAS;Emprendedores;Tecnología ;2
2021;4;GUAYAS;Emprendedores;Producción de alimentos en fresco (avícola, pesca ganadería, lácteos);2
2021;4;GUAYAS;Emprendedores;Manualidades/Artesanías;1
2021;4;GUAYAS;Emprendedores;Biotecnología;1
2021;4;GUAYAS;Emprendedores;Servicios para eventos;1
2021;4;GUAYAS;Emprendedores;Mecánica de autos / Reparaciones;1
2021;4;GUAYAS;Emprendedores;Automoción y carrocería (Metalmecánica);1
2021;4;IMBABURA;Emprendedores;Actividades de turismo;1
2021;4;LOJA;Emprendedores;Producción de alimentos / Procesos de Agroindustria;2
2021;4;LOS RIOS;Emprendedores;Muebles y decoración;1
2021;4;LOS RIOS;Emprendedores;Bares / Discotecas / Actividades de entretenimiento;1
2021;4;MANABI;Emprendedores;Producción de alimentos / Procesos de Agroindustria;2
2021;4;MANABI;Emprendedores;Servicios Profesionales (asesoría, contables, abogados, etc.);1
2021;4;MANABI;Emprendedores;Confección y calzado;1
2021;4;MANABI;Emprendedores;Producción de alimentos en fresco (avícola, pesca ganadería, lácteos);1
2021;4;MANABI;Emprendedores;Servicios para eventos;1
2021;4;MANABI;Emprendedores;Fundación / Actividades sin fines de lucro;1
2021;4;MORONA SANTIAGO;Emprendedores;Producción de alimentos en fresco (avícola, pesca ganadería, lácteos);1
2021;4;PICHINCHA;Emprendedores;Actividades de turismo;3
2021;4;PICHINCHA;Emprendedores;Comercio electrónico;3
2021;4;PICHINCHA;Emprendedores;Producción de alimentos / Procesos de Agroindustria;9
2021;4;PICHINCHA;Emprendedores;Servicios Profesionales (asesoría, contables, abogados, etc.);8
2021;4;PICHINCHA;Emprendedores;Confección y calzado;2
2021;4;PICHINCHA;Emprendedores;Consultorios médicos;1
2021;4;PICHINCHA;Emprendedores;Muebles y decoración;3
2021;4;PICHINCHA;Emprendedores;Tecnología ;7
2021;4;PICHINCHA;Emprendedores;Producción de alimentos en fresco (avícola, pesca ganadería, lácteos);1
2021;4;PICHINCHA;Emprendedores;Centros educativos / Enseñanza o similares;2
2021;4;PICHINCHA;Emprendedores;Servicios para eventos;1
2021;4;PICHINCHA;Emprendedores;Mecánica de autos / Reparaciones;2
2021;4;PICHINCHA;Emprendedores;Fundación / Actividades sin fines de lucro;4
2021;4;PICHINCHA;Emprendedores;Delicatesen;1
2021;4;PICHINCHA;Emprendedores;Víveres / Frutas;1
2021;4;PICHINCHA;Emprendedores;Restaurantes / Cafetería;4
2021;4;PICHINCHA;Emprendedores;Servicios de catering;1
2021;4;PICHINCHA;Emprendedores;Ferretería / Pinturas / Tuberías;1
